MANIPULATION hashes differed 120/120
MANIPULATION mate-seek decision-ticks off=5520825 on=6223462 delta=12.73%
MANIPULATION flee decision-ticks off=5752666 on=4270468 delta=-25.77%
EXTINCT off=75/120 on=66/120
BIRTHS mean off=279.56 on=292.37 delta=12.808 t=2.04 up=72 down=48 tied=0

# schema=1
# code_revision=ZZZ probe at head 71624ff
# scenario_id=p4-watchable-starter-habitat
# scenario_layout_fingerprint=12748958029872398774
# scenario_resource_count=4
# first_seed=42
# seed_count=120
# ticks=12000
# WorldSeed=42
# InitialPopulation=12
# MaximumPopulation=84
# FounderProfile=PredationVariation
# DecisionPolicyVersion=IntentUtilityV1
# BaseFrequencyHz=20
# CognitionEnabled=true
# PhysiologyEnabled=true
# PlantCohortsEnabled=true
# PredationEconomicsEnabled=false
# ForagingEconomicsEnabled=false
# DecisionStaggerEnabled=false
# MultiThreatPerceptionEnabled=false
# RestBehaviorEnabled=false
# JuvenileCapabilityEnabled=false
# ParentalFollowingEnabled=false
# KinRecognitionEnabled=false
# LearnedResourceQualityEnabled=false
# MateSelectionEnabled=true
# PlantSiteCompetitionEnabled=false
# PlantMortalityEnabled=false
# PlantDefenseDeterrenceEnabled=false
# PlantQualityPreferenceEnabled=false
# PlantTemperatureAdaptationEnabled=false
# PlantFertilityAdaptationEnabled=false
# ProceduralEnvironmentFieldsEnabled=false
# ElevationFieldEnabled=false
# PlantEstablishmentContestEnabled=false
# PlantInvaderEstablishmentContestEnabled=false
# PlantSeedProductionRateEnabled=false
# SafetyGatedMateRendezvousEnabled=false
# HomeRangeAffinityEnabled=false
# PlantSeedProductionRateDispersalCharge=2
# PlantDefenseDeterrenceStrength=0.75
# ThreatFalloffDistance=10
arm,seed,births,deaths,predation_deaths,starvation_deaths,final_population,mate_seek_ticks,flee_ticks,creature_ticks,state_hash
gate-on,148,282,287,7,22,7,29860,57085,542880,13012092960055252582
gate-off,149,270,282,0,39,0,41050,20180,539718,3071280905876591576
gate-on,149,288,300,3,33,0,52010,10070,570583,17603432101921909143
gate-off,150,338,266,3,0,84,68169,36211,586842,11491217673410806300
gate-on,150,285,214,0,0,83,69894,20141,512171,25078158484851061
gate-off,151,245,257,8,17,0,37100,60255,481868,17357522262459869297
gate-on,151,332,320,4,21,24,67410,29602,646602,2240081525209176668
gate-off,152,306,318,3,28,0,62470,19100,608408,587011706735525937
gate-on,152,329,340,0,34,1,67000,6150,650859,1523383096485272712
gate-off,153,368,378,8,40,2,53720,17925,720905,4919689469076291476
gate-on,153,326,338,2,33,0,74350,17855,660023,15139927522244145552
gate-off,154,260,272,5,24,0,42830,28555,508773,2358121703923973457
gate-on,154,304,316,0,37,0,57540,9060,597908,3303954803571658707
gate-off,155,289,301,4,31,0,41060,58665,578383,18438990531417505971
gate-on,155,299,311,2,27,0,45550,45240,593678,4346541905256815645
gate-off,156,264,276,7,29,0,21780,65825,516083,3658094881739709025
gate-on,156,265,277,5,27,0,33100,53525,517193,2227622889236299128
gate-off,157,372,365,2,22,19,88250,47725,737542,10158725670365046272
gate-on,157,404,332,0,0,84,100287,4230,733812,4006968631462656225
gate-off,158,334,283,1,0,63,59100,110513,634846,14259016283549814477
gate-on,158,267,279,2,37,0,37820,46740,528858,5226754061438227440
gate-off,159,258,186,0,0,84,42273,61893,471502,3000692806768794057
gate-on,159,296,269,2,0,39,46160,23967,592142,13560414708633549758
gate-off,160,284,296,9,20,0,46650,24595,566073,5579448683707252325
gate-on,160,348,359,0,30,1,81490,17330,699909,1711069689063956702
gate-off,161,329,341,6,21,0,70430,43310,664473,1407341967978960730
gate-on,161,348,359,0,34,1,76580,24700,706299,14310309996394456808

