arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
growth-nutrient-off,79,0.387750,-0.069415,0.188534,48,16,8429625689638008731
growth-nutrient-off,80,0.325109,0.009886,0.148436,48,20,18189565571433813191
growth-nutrient-off,81,0.371461,0.012995,0.171057,48,16,424926980206111286
growth-nutrient-off,82,0.422196,-0.153318,0.345654,48,20,9865550398836038157
growth-nutrient-off,83,0.368740,0.017490,0.094534,48,17,7142537775733092123
growth-nutrient-off,84,0.369922,0.022375,0.146048,48,19,6342147008457883260
growth-nutrient-off,85,0.378949,-0.002265,0.140807,48,19,11432845223564440577
growth-nutrient-off,86,0.262658,-0.052553,0.078347,48,12,678826627341531156
growth-nutrient-off,87,0.304355,0.034000,0.128169,48,16,13343311368061051569
growth-nutrient-off,88,0.318837,0.003253,0.099139,48,17,5389073855435920829
growth-nutrient-off,89,0.324712,-0.038620,0.120673,48,16,7965158669939615859
growth-nutrient-off,90,0.367435,0.026715,0.129024,48,17,3499733973921144403
growth-nutrient-off,91,0.359572,0.016513,0.109093,48,16,3999554751313646525
growth-nutrient-off,92,0.364103,-0.054646,0.118164,48,16,15336421617372611703
growth-nutrient-off,93,0.399712,0.000997,0.181139,48,17,9769104004502003605
growth-nutrient-off,94,0.241175,-0.066621,0.010121,48,18,1975319564682217426
growth-nutrient-off,95,0.369874,-0.012944,0.087693,48,18,15431288437424254559
growth-nutrient-off,96,0.342864,0.020948,0.066313,48,15,16702700031026813464
growth-nutrient-off,97,0.343406,0.033293,0.129047,48,19,1147379566879939364
growth-nutrient-off,98,0.280701,0.065367,0.052708,48,18,12535098025640310370
growth-nutrient-off,99,0.255542,0.046198,0.022852,48,16,9594773810259384907
growth-nutrient-off,100,0.284162,-0.001481,0.070102,48,14,6693246540748068032
growth-nutrient-off,101,0.234150,-0.038446,-0.000753,48,17,4182257811861791274
growth-nutrient-off,102,0.308734,-0.028458,0.087283,48,18,13786253649518055281
growth-nutrient-off,103,0.355034,0.114601,0.156566,48,16,8634125927972565764
growth-nutrient-off,104,0.338257,-0.002393,0.125928,48,17,8353626001247035161
growth-nutrient-off,105,0.299247,-0.010963,0.133786,48,18,16095188769890649111
