+arm,seed,mean_occupancy,seedling_resilience_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
invader-24-on,92,0.898879,-0.042732,0.042420,48,14,12171865232119606333
invader-24-on,93,0.904646,-0.039518,0.110632,48,14,11796175953887771856
invader-24-on,94,0.876306,-0.096067,-0.003272,48,15,12153730809200858355
invader-24-on,95,0.905025,-0.058064,0.122032,48,14,8346464586841113042
invader-24-on,96,0.905936,0.011104,0.054567,48,17,11525680125004411573
invader-24-on,97,0.914775,0.007544,0.048284,48,14,7262997714044382749
invader-24-on,98,0.891306,0.006497,0.098030,48,15,7292539944551550225
invader-24-on,99,0.908240,0.031285,0.124730,48,16,13356578126974391085
invader-24-on,100,0.917290,-0.081351,0.009306,48,14,6276706355371038457
invader-24-on,101,0.883546,-0.088746,0.005854,48,16,1685930973330275681
invader-24-on,102,0.884004,0.071555,-0.011367,48,13,7638243324289495024
invader-24-on,103,0.900874,0.042751,0.255548,48,14,15198165526687285833
invader-24-on,104,0.897561,0.095028,0.076044,48,14,12883418098247801007
invader-24-on,105,0.902556,0.018380,0.111020,48,15,2999050977029992197
invader-24-on,106,0.877065,-0.096873,0.119251,48,15,2790683381639959461
invader-24-on,107,0.904235,-0.031661,0.054309,48,16,11399864400901072194
invader-24-on,108,0.896096,0.078533,0.057772,48,18,12684758062176060498
invader-24-on,109,0.914132,0.015735,0.065683,48,15,10589939763476437623
invader-24-on,110,0.898577,0.013896,0.097515,48,13,6365754270285766113
invader-24-on,111,0.900683,0.011752,0.032104,48,20,11246032778519043218
invader-24-on,112,0.900969,0.026061,0.068613,48,15,5859287837136207064
invader-24-on,113,0.900175,-0.057432,0.188084,48,16,10166710948904495903
invader-24-on,114,0.897409,-0.011106,0.054891,48,13,16910627576859480483
invader-24-on,115,0.895944,0.076168,0.082926,48,14,7665001647274262327
invader-24-on,116,0.904560,0.017893,0.123508,48,16,6495128080233771915
invader-24-on,117,0.876304,-0.021529,0.025499,48,16,15721666450805839637
invader-24-on,118,0.896924,-0.167515,0.164549,48,17,2633591844712495225
invader-24-on,119,0.897348,-0.004143,-0.013569,48,15,15885241959326351062
invader-24-on,120,0.887074,0.065200,0.046937,48,15,13700411656891411649
invader-24-on,121,0.905897,-0.050382,0.086157,48,17,13467309472586647930
invader-24-on,122,0.889714,0.023534,0.130756,48,15,13938421387634411206
invader-24-on,123,0.895897,0.081791,0.064716,48,13,13782168132632320945
invader-24-on,124,0.885959,-0.071147,0.060928,48,15,12900014103766485413
invader-24-on,125,0.887292,0.092160,-0.012981,48,14,1682638622582266719
invader-24-on,126,0.917210,0.035755,0.101808,48,17,18432330806011193700
invader-24-on,127,0.899102,0.188314,0.085421,48,14,15981060277030078744
invader-24-on,128,0.885074,0.027199,0.023108,48,14,11925625221230174021
invader-24-on,129,0.906778,0.101986,0.140154,48,14,7060983090636171884
invader-24-on,130,0.890952,0.108771,0.040310,48,15,12236010506235775521
invader-24-on,131,0.904347,-0.036725,0.097869,48,16,13469627872288750245
invader-24-on,132,0.896516,0.023975,0.006851,48,14,9390118095389249432
invader-24-on,133,0.876661,-0.017125,0.044047,48,16,6069839312293170684
invader-24-on,134,0.895600,0.029719,0.067284,48,15,852902917246619401
invader-24-on,135,0.895689,0.031390,0.057620,48,13,756500356843499061
invader-24-on,136,0.896787,-0.072502,0.111392,48,16,2385123273078833392
invader-24-on,137,0.879857,-0.018625,0.040859,48,14,14670750435911958062
invader-24-on,138,0.899219,0.035198,0.069190,48,15,17235216778546493341
invader-24-on,139,0.892196,-0.053224,-0.004355,48,15,11065813790096390352
invader-24-on,140,0.902561,0.029071,0.016525,48,17,14997078980111573619
invader-24-on,141,0.903472,-0.068488,0.070551,48,17,640331117994061768
invader-24-on,142,0.889718,-0.005978,-0.002433,48,14,8463953099319001075
invader-24-on,143,0.915354,-0.001379,0.132458,48,17,13839631433604477676
invader-24-on,144,0.903310,0.005856,0.084263,48,16,1403873776668147327
invader-24-on,145,0.888107,0.038326,0.207824,48,17,3047657380947690873
invader-24-on,146,0.880488,0.049150,0.107089,48,15,3146109995602200135
invader-24-on,147,0.911447,-0.065889,0.109567,48,15,15740434588871014094
invader-24-on,148,0.902626,-0.046804,-0.006107,48,16,6360419525573055374
invader-24-on,149,0.894975,0.014143,-0.032020,48,14,15869455838906875005
invader-24-on,150,0.894576,0.066006,0.084653,48,17,5068386109778906558
invader-24-on,151,0.906519,0.084731,0.005282,48,16,7843061424516830658
invader-24-on,152,0.899774,0.022644,0.044336,48,16,14432389710995817426
invader-24-on,153,0.906953,0.021941,0.041793,48,15,14348666807376642117
invader-24-on,154,0.893307,0.011663,0.033796,48,14,10678402879059878777
invader-24-on,155,0.897982,-0.056275,0.112791,48,19,14707197905327737203
invader-24-on,156,0.888390,0.017546,0.010458,48,13,5522340304133785282
invader-24-on,157,0.876432,-0.068810,0.042976,48,13,5452766600901460618
invader-24-on,158,0.908742,-0.069572,0.219752,48,13,11780832555439824537
invader-24-on,159,0.902232,-0.015107,0.016550,48,14,5164496897014404382
invader-24-on,160,0.904494,-0.063164,0.083377,48,15,1099999059269555211
invader-24-on,161,0.899013,0.035484,0.045089,48,16,13394575588535538010
invader-168-off,42,0.310808,-0.026850,0.168715,48,15,16404974260470934737
invader-168-off,43,0.264111,-0.020548,0.134315,48,12,4819796156783713959
invader-168-off,44,0.252955,0.009785,0.143553,48,15,4353173911176546113
invader-168-off,45,0.263010,-0.060536,0.065381,48,14,2337211205368525656
invader-168-off,46,0.252161,0.016922,0.062484,48,14,2468038453841960808
invader-168-off,47,0.294782,-0.041974,0.155998,48,19,5101317561646335961
invader-168-off,48,0.276184,-0.026505,0.129662,48,15,15972307680273360908
invader-168-off,49,0.254769,-0.061249,0.101528,48,17,14643173705173459545
invader-168-off,50,0.333548,0.019057,0.109511,48,19,774429645325054082
invader-168-off,51,0.302893,-0.039308,0.129353,48,15,14776855821863408913
invader-168-off,52,0.260282,-0.039094,0.112129,48,14,1051266713375526545
invader-168-off,53,0.292129,0.064097,0.097913,48,16,10938324622072378185
invader-168-off,54,0.278059,-0.007524,0.046538,48,18,17745668322019119837
invader-168-off,55,0.313317,-0.044853,0.282897,48,20,3997643271462620028
invader-168-off,56,0.329146,0.012867,0.195176,48,18,6351128845621885662
invader-168-off,57,0.389488,0.008616,0.257241,48,18,5030017919464276351
invader-168-off,58,0.299681,-0.014187,0.172773,48,15,14673274409950019532
invader-168-off,59,0.251991,0.007895,0.124484,48,14,172750854669268433
invader-168-off,60,0.262357,-0.047781,0.061725,48,15,6754308906358777015
invader-168-off,61,0.269590,0.047304,0.121215,48,16,4725205828810428746
invader-168-off,62,0.234421,-0.082943,0.072772,48,14,9252551714536890861
invader-168-off,63,0.276455,0.015216,0.149382,48,19,1220380073310344181
invader-168-off,64,0.308155,-0.109287,0.208487,48,17,11925310686179514149
invader-168-off,65,0.270221,-0.062619,0.049344,48,16,11530020486023733231
invader-168-off,66,0.312415,-0.023887,0.100310,48,19,14686206607620614479
invader-168-off,67,0.267322,-0.017176,0.130491,48,17,9927875735785272329
invader-168-off,68,0.245322,-0.070344,0.044428,48,14,11451353767821877567
invader-168-off,69,0.231527,-0.013207,0.194692,48,14,9675855848610145082
invader-168-off,70,0.239503,-0.134694,0.109147,48,17,13777303400269281831
invader-168-off,71,0.278744,-0.018268,0.097395,48,16,15627115242694111137
invader-168-off,72,0.253375,0.027327,0.106749,48,15,11972505136074481146
invader-168-off,73,0.290189,-0.004464,0.160341,48,15,3596090036069300393
invader-168-off,74,0.237418,0.059827,0.052221,48,14,12627031730386025482
invader-168-off,75,0.374020,-0.050518,0.239300,48,17,9715477825811191527
invader-168-off,76,0.223028,0.077684,0.065741,48,14,3937140377959505196
invader-168-off,77,0.236759,-0.013074,0.116871,48,14,16565866652683488528
invader-168-off,78,0.245336,0.033281,0.043442,48,16,5856608000808626192
invader-168-off,79,0.366908,-0.018778,0.151312,48,18,15818092802101800774
invader-168-off,80,0.297702,-0.099860,0.190890,48,17,11345996800625171753
invader-168-off,81,0.275852,0.002611,0.078280,48,17,7348977005712569290
invader-168-off,82,0.350880,0.047164,0.183438,48,16,3668835245062097366
invader-168-off,83,0.290084,-0.064582,0.131390,48,16,16966783208949432663
invader-168-off,84,0.306197,-0.028784,0.060451,48,15,11259623975899259496
invader-168-off,85,0.297836,0.051634,0.142457,48,17,13959811208259974649
invader-168-off,86,0.248623,0.059968,0.138944,48,17,2704488287898906165
invader-168-off,87,0.261539,-0.062895,0.068266,48,14,643221421521155683
invader-168-off,88,0.220766,-0.038319,0.078913,48,17,5151573926139159524
invader-168-off,89,0.330118,0.052508,0.175084,48,19,8219850085214840987
invader-168-off,90,0.253943,-0.061617,0.155764,48,16,16021702496547922356
invader-168-off,91,0.263739,0.051042,0.202446,48,16,13705941465977320465
invader-168-off,92,0.288783,-0.009358,0.119048,48,17,12936435229534713094
invader-168-off,93,0.274649,-0.005005,0.077070,48,15,12207064906096724453
invader-168-off,94,0.241409,0.014977,0.030701,48,13,4219105899825441924
invader-168-off,95,0.363486,0.134375,0.172899,48,19,16591930884181365393
invader-168-off,96,0.224345,-0.019884,0.087145,48,14,11813534824239201057
invader-168-off,97,0.321180,-0.026359,0.088018,48,16,6079770993315042639
invader-168-off,98,0.258579,-0.063970,0.045323,48,18,136505220326446348
invader-168-off,99,0.314666,0.021628,0.192632,48,18,10697007197252967312
invader-168-off,100,0.327581,0.034011,0.150915,48,16,4023299931823311118
invader-168-off,101,0.236977,-0.006989,0.088281,48,15,15849439028089479019
invader-168-off,102,0.225708,0.019355,0.020283,48,15,9330137459816322696
invader-168-off,103,0.284033,0.002591,0.130998,48,16,1402850976752613692
invader-168-off,104,0.288999,-0.010155,0.162106,48,16,4109113188609568773
