arm,seed,mean_site_occupancy,seed_production_rate_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
abundant-off,133,0.269827,-0.108847,0.061624,48,17,9020746540613746485
abundant-off,134,0.289683,-0.022752,0.082700,48,15,6039754262548789851
abundant-off,135,0.309553,0.002016,0.100170,48,16,3374147561866475867
abundant-off,136,0.389676,0.134017,0.154436,48,17,4474510764680622665
abundant-off,137,0.312695,0.044048,0.055594,48,15,13506117146346863969
abundant-off,138,0.417887,-0.017682,0.208355,48,19,14296290332324257384
abundant-off,139,0.335673,0.150981,0.165628,48,16,6850570765846497742
abundant-off,140,0.344679,-0.053374,0.134381,48,17,2620643506993374430
abundant-off,141,0.311235,0.060731,0.100300,48,15,5249219360084821168
abundant-off,142,0.421524,0.018592,0.130424,48,19,3398567573341017820
abundant-off,143,0.375109,0.028317,0.178093,48,21,12467597372690779122
abundant-off,144,0.361774,-0.065296,0.107487,48,16,11827941732223143588
abundant-off,145,0.391432,0.005513,0.113000,48,17,9167573185054704813
abundant-off,146,0.275997,0.002089,0.055572,48,15,18209368134919824073
abundant-off,147,0.290823,0.025748,0.106799,48,16,6641965624168447818
abundant-off,148,0.357067,-0.027080,0.103504,48,16,10639099458443331932
abundant-off,149,0.346681,-0.032225,0.130297,48,19,7417075589762649692
abundant-off,150,0.372452,0.163272,0.177467,48,17,9721458883190858241
abundant-off,151,0.355417,0.033221,0.114695,48,19,13671426361770956619
abundant-off,152,0.308255,0.040450,0.125729,48,16,3092063894786791118
abundant-off,153,0.367847,-0.014836,0.133703,48,18,8512427147180400352
abundant-off,154,0.304613,-0.036263,0.113876,48,16,17860996053070990534
abundant-off,155,0.309304,-0.001431,0.149439,48,17,7527939941529337683
abundant-off,156,0.434601,-0.059670,0.145198,48,17,1381069610183485255
abundant-off,157,0.307838,0.160513,0.128047,48,18,3600911135314197115
abundant-off,158,0.339009,0.001663,0.122292,48,15,13842677414053501074
abundant-off,159,0.312390,-0.029932,0.091258,48,16,12105575580911017292
abundant-off,160,0.300947,-0.058402,0.055208,48,17,1414893644222613997
abundant-off,161,0.302594,-0.063502,0.083488,48,14,15891286473269986114
abundant-on,42,0.263247,-0.008420,0.050715,48,16,8502632609947676432
abundant-on,43,0.329651,0.005516,0.112504,48,15,4401291696729615909
abundant-on,44,0.366985,-0.019213,0.112837,48,19,6452526837484876798
