seed,id,generation,parentId,birthTick,endTick,endReason,lifeTicks,eligibleTicks,births,meanBiomassFraction,growth,seedInvestment,waterEfficiency,nutrition,defense,dispersal,moistureTolerance,temperatureTolerance,nutrientUptake
42,102,11,91,8560,10580,aged,2020,45,2,0.9597,0.46891,0.67546,0.44363,0.61912,0.20739,0.52872,0.41798,0.60828,0.42376
42,103,11,92,8640,8720,takenOver,80,0,0,0.1210,0.49076,0.59154,0.49398,0.68449,0.20928,0.63555,0.42318,0.64416,0.45442
42,104,9,85,8680,10940,aged,2260,80,1,0.9068,0.32103,0.49141,0.46253,0.65754,0.19700,0.59424,0.42111,0.65267,0.59742
42,105,11,101,8700,10760,aged,2060,90,0,0.9028,0.47403,0.37262,0.50007,0.71416,0.37762,0.40701,0.61800,0.44470,0.56533
42,103,11,93,8720,10860,aged,2140,80,1,0.9214,0.35303,0.62329,0.46372,0.60574,0.38970,0.71470,0.59365,0.36721,0.51617
42,106,9,90,8740,8820,takenOver,80,0,0,0.1291,0.44201,0.61512,0.63194,0.61421,0.50872,0.47361,0.64941,0.48290,0.53006
42,107,12,88,8760,10940,aged,2180,61,2,0.9189,0.38427,0.43367,0.57629,0.59879,0.25937,0.48916,0.42401,0.35377,0.47800
42,106,12,97,8820,10740,aged,1920,71,1,0.9387,0.51224,0.57333,0.41700,0.64421,0.24487,0.64233,0.42674,0.66710,0.35588
42,108,10,86,8880,8900,takenOver,20,0,0,0.0637,0.56200,0.44348,0.54281,0.65057,0.35535,0.55238,0.55867,0.46406,0.58120
42,108,12,102,8900,10940,aged,2040,75,1,0.9478,0.46358,0.67722,0.41142,0.62348,0.17484,0.48388,0.43950,0.64415,0.45572
42,109,11,93,9140,11340,aged,2200,78,1,0.9118,0.36078,0.59447,0.44772,0.59851,0.29789,0.74425,0.62609,0.34264,0.48039
42,110,9,90,9140,9180,takenOver,40,0,0,0.0969,0.46855,0.61952,0.52947,0.59552,0.45454,0.42794,0.61605,0.45725,0.53120
42,111,11,98,9160,9260,takenOver,100,0,0,0.1039,0.57383,0.55719,0.52213,0.61947,0.21533,0.60067,0.43618,0.64988,0.42714
