terrain,arm,seed,hash,occupancy,population,extinct,no_living_bred_lineage,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
terrain,contest-off,42,10289751150808064306,0,1,0,1,401,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,43,346207209384743875,0.95833,0,1,0,431,26,0.4,0.52317,0.12317,0.44,0.67412,0.23412,0.48,0.30587,-0.17413,0.52,0.46027,-0.05973,0.56,0.6285,0.0685,0.6,0.79669,0.19669,0.56667,0.54307,-0.0236,0.53333,0.18237,-0.35096,0.5,0.354,-0.146,0.46667,0.68169,0.21502,0.43333,0.49602,0.06269
terrain,contest-off,44,18409905186208144111,1,0,1,0,444,30,0.4,0.56854,0.16854,0.44,0.70273,0.26273,0.48,0.57578,0.09578,0.52,0.51989,-0.00011,0.56,0.52274,-0.03726,0.6,0.82491,0.22491,0.56667,0.39722,-0.16944,0.53333,0.42186,-0.11147,0.5,0.61572,0.11572,0.46667,0.63118,0.16451,0.43333,0.44948,0.01615
terrain,contest-off,45,7370958908326757302,0.5,165,0,0,347,25,0.4,0.39227,-0.00773,0.44,0.42829,-0.01171,0.48,0.68901,0.20901,0.52,0.36353,-0.15647,0.56,0.46226,-0.09774,0.6,0.66169,0.06169,0.56667,0.54757,-0.0191,0.53333,0.61692,0.08358,0.5,0.66263,0.16263,0.46667,0.56215,0.09549,0.43333,0.48482,0.05148
terrain,contest-off,46,17588827725619775661,1,0,1,0,365,24,0.4,0.33968,-0.06032,0.44,0.59516,0.15516,0.48,0.75749,0.27749,0.52,0.48313,-0.03687,0.56,0.83268,0.27268,0.6,0.62545,0.02545,0.56667,0.45897,-0.1077,0.53333,0.47682,-0.05651,0.5,0.32867,-0.17133,0.46667,0.29263,-0.17404,0.43333,0.35911,-0.07422
terrain,contest-off,47,5289206075803887729,0,0,1,1,267,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,48,2253610085486661660,1,158,0,0,456,30,0.4,0.56731,0.16731,0.44,0.55184,0.11184,0.48,0.48766,0.00766,0.52,0.50831,-0.01169,0.56,0.80727,0.24727,0.6,0.72904,0.12904,0.56667,0.82418,0.25751,0.53333,0.30374,-0.2296,0.5,0.58199,0.08199,0.46667,0.52705,0.06038,0.43333,0.27839,-0.15495
terrain,contest-off,49,10150287900833896299,0,0,1,1,298,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,50,940951269354071836,0,0,1,1,315,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,51,10948472171082556506,0.95833,0,1,0,427,27,0.4,0.49947,0.09947,0.44,0.72414,0.28414,0.48,0.4448,-0.0352,0.52,0.60161,0.08161,0.56,0.74204,0.18204,0.6,0.86955,0.26955,0.56667,0.70176,0.1351,0.53333,0.29696,-0.23638,0.5,0.32815,-0.17185,0.46667,0.4728,0.00614,0.43333,0.50584,0.07251
terrain,contest-off,52,11516076842066775518,0,0,1,1,285,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,53,2938340313984269839,0,0,1,1,232,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,54,545749117240958784,0,0,1,1,269,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,55,15202281128608660122,0.91667,9,0,0,505,25,0.4,0.46083,0.06083,0.44,0.64313,0.20313,0.48,0.46877,-0.01123,0.52,0.5919,0.0719,0.56,0.4736,-0.0864,0.6,0.64305,0.04305,0.56667,0.55822,-0.00845,0.53333,0.25088,-0.28246,0.5,0.35391,-0.14609,0.46667,0.45858,-0.00809,0.43333,0.34714,-0.08619
terrain,contest-off,56,1608178453991009380,0,1,0,1,346,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,57,12862002809311136607,1,0,1,0,444,27,0.4,0.53352,0.13352,0.44,0.63445,0.19445,0.48,0.70167,0.22167,0.52,0.46708,-0.05292,0.56,0.55773,-0.00227,0.6,0.73103,0.13103,0.56667,0.83556,0.26889,0.53333,0.4316,-0.10174,0.5,0.29254,-0.20746,0.46667,0.30914,-0.15752,0.43333,0.54554,0.11221
terrain,contest-off,58,10737142883950080436,0,0,1,1,292,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,59,9098102784802454006,1,150,0,0,499,29,0.4,0.57292,0.17292,0.44,0.90714,0.46714,0.48,0.64539,0.16539,0.52,0.29706,-0.22294,0.56,0.83641,0.27641,0.6,0.76122,0.16122,0.56667,0.41855,-0.14812,0.53333,0.63036,0.09702,0.5,0.56095,0.06095,0.46667,0.21623,-0.25044,0.43333,0.48924,0.05591
terrain,contest-off,60,5459903663037264438,0,0,1,1,286,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,61,6544759356756245319,0,0,1,1,218,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,62,15891813061071534776,0,0,1,1,325,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,63,15559989075357371640,0.04167,1,0,0,423,25,0.4,0.45389,0.05389,0.44,0.65781,0.21781,0.48,0.52043,0.04043,0.52,0.59603,0.07603,0.56,0.38414,-0.17586,0.6,0.82608,0.22608,0.56667,0.10866,-0.45801,0.53333,0.76223,0.22889,0.5,0.54274,0.04274,0.46667,0.28146,-0.18521,0.43333,0.36952,-0.06381
terrain,contest-off,64,8496932198542087210,0,0,1,1,364,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-off,65,17073611625762017979,0,0,1,1,242,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,42,9274819526565403155,0.95833,0,1,0,426,24,0.4,0.35518,-0.04482,0.44,0.61666,0.17666,0.48,0.58207,0.10207,0.52,0.60125,0.08125,0.56,0.44898,-0.11102,0.6,0.72643,0.12643,0.56667,0.63328,0.06662,0.53333,0.64905,0.11571,0.5,0.2706,-0.2294,0.46667,0.3415,-0.12517,0.43333,0.48856,0.05523
terrain,contest-on,43,13211781375036661741,0,0,1,1,293,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
