schema=1
code_revision=84ca29e
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=120
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=48
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,125,16238794058820317046,48,0,0.7820,0.4973,0.4222,0.4879,0.4414,0.5929,0.5305,0.6786,0.7208,0.7836,0.4846,0.5066,0.4756,0.5098
slope-off,126,14966042588311708654,48,0,0.8017,0.4452,0.5554,0.5698,0.5564,0.3206,0.3927,0.7205,0.7174,0.7719,0.4639,0.4792,0.5287,0.4900
slope-off,127,4186802226453386341,48,0,0.7942,0.5142,0.5448,0.4641,0.4952,0.5538,0.5151,0.7932,0.8488,0.8789,0.4947,0.5329,0.5098,0.5147
slope-off,128,15531653876795754236,48,0,0.8126,0.4705,0.4980,0.3923,0.5385,0.5419,0.5307,0.5361,0.5383,0.7811,0.4770,0.4917,0.5463,0.4952
slope-off,129,13746948059924593298,48,0,0.7906,0.5415,0.4977,0.4301,0.5296,0.4947,0.5809,0.7514,0.3257,0.8050,0.4618,0.5251,0.5105,0.5121
slope-off,130,10951609051381589713,48,0,0.8075,0.6329,0.4875,0.4069,0.6323,0.4380,0.4713,0.6891,0.7805,0.8433,0.4657,0.4695,0.4875,0.5016
slope-off,131,12940457106595612957,48,0,0.7859,0.5169,0.4895,0.5954,0.5615,0.4960,0.4454,0.6676,0.5462,0.7548,0.4527,0.4845,0.5065,0.4755
slope-off,132,13788328464589044491,48,0,0.8102,0.5141,0.5785,0.5176,0.4264,0.5282,0.4240,0.7987,0.7501,0.8419,0.4629,0.5135,0.4890,0.5109
slope-off,133,6933924485181804221,48,0,0.8080,0.4793,0.5658,0.4557,0.4608,0.5447,0.4130,0.8173,0.5411,0.9371,0.4735,0.5162,0.5187,0.4827
slope-off,134,11572559412188070333,48,0,0.8123,0.5439,0.5923,0.4286,0.5387,0.5488,0.4496,0.8020,0.5259,0.9136,0.4517,0.5196,0.5000,0.5102
slope-off,135,4736978767107699986,48,0,0.8028,0.4121,0.5222,0.4585,0.4839,0.4558,0.4662,0.8441,0.6174,0.8819,0.4969,0.4960,0.4754,0.5083
slope-off,136,8891250304238723436,48,0,0.7895,0.5718,0.5280,0.5277,0.5775,0.5299,0.4252,0.7438,0.6082,0.7013,0.4839,0.5084,0.4837,0.4771
slope-off,137,2587132967957659372,48,0,0.8146,0.4848,0.5640,0.4933,0.5565,0.4472,0.5924,0.7937,0.3954,0.7108,0.4765,0.5125,0.5150,0.4855
slope-off,138,12507057776470781645,48,0,0.8145,0.4587,0.6142,0.4878,0.5207,0.4493,0.4727,0.8638,0.4428,0.8770,0.4913,0.5280,0.5017,0.4908
slope-off,139,13879065988314466307,48,0,0.7793,0.3365,0.5757,0.4551,0.4702,0.3918,0.4377,0.5270,0.9207,0.9354,0.4773,0.5001,0.5397,0.4755
slope-off,140,11314866367920821250,48,0,0.8132,0.3630,0.6401,0.5563,0.5636,0.3990,0.5364,0.7509,0.3550,0.6818,0.4543,0.4863,0.4914,0.5115
slope-off,141,13071634706733241678,48,0,0.8102,0.4922,0.6151,0.5629,0.5319,0.4641,0.4756,0.8430,0.6452,0.8284,0.4686,0.5057,0.4965,0.4963
slope-off,142,8829597957885253057,48,0,0.8185,0.5185,0.4904,0.3434,0.5777,0.4707,0.7985,0.7831,0.3073,0.7894,0.4794,0.5091,0.4725,0.5369
slope-off,143,15663553235592600506,48,0,0.8170,0.4672,0.5545,0.4588,0.5297,0.3393,0.4358,0.7318,0.3053,0.7132,0.4122,0.4577,0.4873,0.4845
slope-off,144,11472778193030206543,48,0,0.7983,0.5602,0.5813,0.6417,0.5112,0.5396,0.4487,0.8529,0.8525,0.9192,0.4831,0.5255,0.5093,0.4917
slope-off,145,13519784992246634734,48,0,0.8384,0.5913,0.5452,0.5517,0.5402,0.4360,0.5106,0.8339,0.6350,0.7692,0.4579,0.5262,0.4802,0.5185
