build,arm,seed,hash,final_population,births,deaths,plant_count,plant_births,highest_plant_generation,mean_growth,mean_seed_investment,mean_dispersal,mean_resilience,mean_seed_production,mean_nutrition,mean_defense
fixed-9763374,calibration-contest,45,984615397814289809,48,142,106,24,178,14,0.490315,0.515659,0.612381,0.506122,0.458594,0.716822,0.268254
fixed-9763374,calibration-competition,46,4802000854201335588,48,133,97,23,204,14,0.574741,0.497015,0.531986,0.468870,0.587664,0.586717,0.238766
fixed-9763374,calibration-contest,46,14003072372557797532,48,136,100,24,188,16,0.498524,0.609277,0.611907,0.378088,0.503349,0.567396,0.298075
fixed-9763374,calibration-competition,47,3760822509887521202,48,142,106,23,202,16,0.587282,0.529868,0.546428,0.445505,0.519807,0.608593,0.329845
fixed-9763374,calibration-contest,47,9524474169742845502,48,138,102,23,179,14,0.563938,0.526419,0.549607,0.544132,0.472232,0.717915,0.302837
fixed-9763374,calibration-competition,48,2035039693203963750,48,136,100,24,221,13,0.538348,0.499582,0.633159,0.488741,0.463464,0.616510,0.358127
fixed-9763374,calibration-contest,48,2979713785109100617,48,137,101,23,167,13,0.509259,0.530032,0.501431,0.525380,0.404572,0.730437,0.298792
fixed-9763374,calibration-competition,49,17013490330156804680,48,158,122,24,237,15,0.585466,0.446252,0.663843,0.495024,0.556040,0.659067,0.274249
fixed-9763374,calibration-contest,49,15253420184275069004,48,148,112,24,177,13,0.592180,0.549643,0.597226,0.538569,0.506075,0.684001,0.331687
fixed-9763374,calibration-competition,50,3162726044278819981,48,148,112,24,205,15,0.492268,0.504533,0.590717,0.475126,0.466863,0.703421,0.266215
fixed-9763374,calibration-contest,50,14674058619399251195,48,142,106,24,183,14,0.510257,0.643376,0.567440,0.444495,0.473866,0.537358,0.286887
fixed-9763374,calibration-competition,51,7581451645332877027,48,148,112,24,212,13,0.475223,0.562340,0.594814,0.488048,0.484895,0.675484,0.299871
fixed-9763374,calibration-contest,51,6596386007437248794,48,141,105,23,181,15,0.563087,0.475431,0.634803,0.497365,0.653071,0.596607,0.371454
fixed-9763374,calibration-competition,52,10429223214655006585,48,132,96,23,216,16,0.444740,0.514713,0.605841,0.406708,0.511592,0.734379,0.455374
fixed-9763374,calibration-contest,52,11470065886376627010,48,131,95,24,184,13,0.555973,0.529375,0.618240,0.554109,0.533207,0.575929,0.356754
fixed-9763374,calibration-competition,53,398281135899494893,48,147,111,24,216,15,0.476009,0.583598,0.541450,0.451500,0.492804,0.672769,0.234950
fixed-9763374,calibration-contest,53,6407085463331643946,48,163,127,21,192,12,0.552268,0.557467,0.657483,0.537937,0.514968,0.588512,0.315092
fixed-9763374,calibration-competition,54,5108895966060211295,48,146,110,24,214,13,0.548575,0.476081,0.578176,0.444192,0.563098,0.598285,0.269466
fixed-9763374,calibration-contest,54,2545687046910984861,48,150,114,21,190,15,0.583117,0.536900,0.495011,0.467405,0.428879,0.701257,0.254562
fixed-9763374,calibration-competition,55,13240002643628434559,48,140,104,24,222,18,0.536180,0.528408,0.698112,0.522414,0.394687,0.693849,0.335970
