arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
control,48,18,27,48000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,17889610229695512790
control,48,19,27,50666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,3213056372903603096
control,48,20,27,53333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,6900324807497417517
control,48,21,27,56000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,17969496473130993942
control,48,22,27,58666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,2069953004044036056
control,48,23,27,61333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,3726986397924018541
control,48,24,27,64000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,14059852800075908438
control,48,25,27,66666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,15894191453794435608
control,48,26,27,69333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,17557407874074736557
control,48,27,27,72000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,2920633194173952918
control,49,1,27,2666,40,1,0,476,0,0,1,0,0,0,1,22,20,1442.661,2788.9995,489.5832,1288.7462,0.7442,5732087710656240680
control,49,2,27,5333,71,1,0,476,0,0,34,0,0,0,33,24,24,1705.36,6184.2104,1695.5844,3215.2183,0.8202,16772449711908625291
control,49,3,27,8000,201,1,0,476,0,0,81,0,0,0,47,19,17,1199.3894,10554.9775,4375.1802,5411.9033,0.7882,12072395691490314403
control,49,4,27,10666,476,1,0,476,0,0,196,0,0,0,115,21,10,776.6646,18880.0508,11131.7363,7401.8989,0.7783,807126091641574382
control,49,5,27,13333,28,1,0,476,362,0,374,0,0,362,540,0,0,0,21930.5664,14615.8252,7743.7134,0.0012,4167287043623089099
control,49,6,27,16000,0,1,0,476,390,0,374,0,0,28,28,0,0,0,21930.5664,14615.8252,7743.7134,,3427158340622039047
control,49,7,27,18666,0,1,0,476,390,0,374,0,0,0,0,0,0,0,21930.5664,14615.8252,7743.7134,,6175144922666025813
