arm,seed,founderMean,finalMean,delta,finalPatches,finalPopulation,plantGenerations
control(flagOff),88,0.28585663934548694,0.27161995445688564,-0.014236684888601303,24,48,18
control(flagOff),89,0.4675550063451131,0.5434075986797159,0.07585259233460279,22,48,16
control(flagOff),90,0.31865885357062024,0.38060249015688896,0.061943636586268724,24,48,19
control(flagOff),91,0.6694844762484232,0.8595567345619202,0.19007225831349694,18,48,12
control(flagOff),92,0.2463922364016374,0.3963984234089201,0.15000618700728272,22,47,15
control(flagOff),93,0.4893044133981069,0.4263728869997937,-0.06293152639831318,23,48,13
control(flagOff),94,0.3607038805882136,0.2579180037845736,-0.10278587680364004,23,48,14
control(flagOff),95,0.47790159781773883,0.43113098496740515,-0.04677061285033368,22,48,13
control(flagOff),96,0.7118797600269318,0.8659452224771181,0.15406546245018637,24,48,17
control(flagOff),97,0.4390331854422887,0.42273201793432236,-0.01630116750796634,24,48,16
control(flagOff),98,0.520603542526563,0.4405668481536534,-0.08003669437290967,23,47,14
control(flagOff),99,0.4692913244167964,0.43559397260348004,-0.033697351813316345,24,48,13
control(flagOff),100,0.6117918491363525,0.58188621894173,-0.029905630194622557,23,48,15
control(flagOff),101,0.788138618071874,0.7362890988588333,-0.05184951921304071,24,48,13
control(flagOff),102,0.44113672773043316,0.29081398248672485,-0.1503227452437083,22,48,13
control(flagOff),103,0.594409167766571,0.5001468943512958,-0.09426227341527527,23,48,14
control(flagOff),104,0.43928653995196026,0.4665802903473377,0.02729375039537746,24,48,15
control(flagOff),105,0.4531867057085037,0.5710553290943304,0.11786862338582671,24,48,15
control(flagOff),106,0.368012472987175,0.3684866700483405,0.0004741970611655266,23,48,15
control(flagOff),107,0.2511128510038058,0.15409946190598217,-0.09701338909782364,23,48,13
control(flagOff),108,0.7096289793650309,0.6555168758267942,-0.0541121035382367,23,47,13
control(flagOff),109,0.534514973560969,0.5153000298000517,-0.019214943760917258,21,48,14
control(flagOff),110,0.8194241325060526,0.8172882976739303,-0.0021358348321223186,23,48,15
control(flagOff),111,0.19677825520435968,0.22325170195351043,0.026473446749150753,24,47,18
control(flagOff),112,0.5918185909589132,0.6648742664944042,0.07305567553549097,22,47,20
control(flagOff),113,0.3282848546902339,0.24452328519976657,-0.08376156949046731,23,48,12
control(flagOff),114,0.7134332557519277,0.8906975761055946,0.1772643203536669,24,48,14
control(flagOff),115,0.5910397271315256,0.5755216072906147,-0.015518119840910893,22,47,16
control(flagOff),116,0.3738889843225479,0.42429324171759863,0.05040425739505072,22,48,14
control(flagOff),117,0.6401996910572052,0.7136208427988965,0.07342115174169128,23,48,16
control(flagOff),118,0.6113607982794443,0.6796930703249845,0.06833227204554015,22,48,11
control(flagOff),119,0.24480834851662317,0.1773280335420912,-0.06748031497453197,22,48,14
control(flagOff),120,0.6397750377655029,0.6754384559133778,0.03566341814787488,23,48,15
control(flagOff),121,0.27476707597573596,0.2591788833960891,-0.015588192579646887,24,48,15
control(flagOff),122,0.7478856444358826,0.7461174000864443,-0.0017682443494382305,23,48,16
control(flagOff),123,0.2537909497817357,0.13277187801542736,-0.12101907176630836,21,48,13
control(flagOff),124,0.361975759267807,0.32221112432687177,-0.03976463494093524,23,48,14
control(flagOff),125,0.25738314787546795,0.24011004538763137,-0.01727310248783659,21,48,17
control(flagOff),126,0.4980337818463643,0.5048849247395992,0.006851142893234907,24,48,15
control(flagOff),127,0.5121792803208033,0.3657855223864317,-0.1463937579343716,24,48,15
control(flagOff),128,0.6791263620058695,0.6084881151715914,-0.0706382468342781,24,48,15
control(flagOff),129,0.24028931061426798,0.25723855569958687,0.016949245085318893,16,48,11
control(flagOff),130,0.21881666655341783,0.20874244956807655,-0.010074216985341278,22,48,13
control(flagOff),131,0.6474216878414154,0.7034933691223463,0.056071681280930874,24,48,14
control(flagOff),132,0.5756576855977377,0.5505278136419214,-0.025129871955816285,23,48,17
control(flagOff),133,0.237209290266037,0.15175278691331978,-0.0854565033527172,23,48,14
control(flagOff),134,0.2950388888518016,0.29902554709802975,0.003986658246228181,22,47,15
control(flagOff),135,0.4198612372080485,0.46900686778520284,0.04914563057715432,19,48,12
control(flagOff),136,0.520622730255127,0.46369135947454543,-0.056931370780581525,21,48,14
control(flagOff),137,0.689346065123876,0.7686566896736622,0.07931062454978621,24,48,15
control(flagOff),138,0.7693631052970886,0.9046351344961869,0.1352720291990983,19,48,17
control(flagOff),139,0.7506270607312521,0.6645898119263027,-0.08603724880494934,23,48,14
control(flagOff),140,0.38143907487392426,0.3864116689020937,0.004972594028169464,22,48,14
control(flagOff),141,0.40423304339249927,0.3883523785549661,-0.015880664837533143,23,48,14
control(flagOff),142,0.31153549750645954,0.4564751812389919,0.14493968373253235,21,48,18
control(flagOff),143,0.7909464140733083,0.8277895748615265,0.03684316078821814,24,48,16
control(flagOff),144,0.7042262752850851,0.5783459829247516,-0.1258802923603335,23,48,14
control(flagOff),145,0.4846937010685603,0.30987980443498364,-0.17481389663357666,23,48,17
control(flagOff),146,0.6326373318831126,0.5572868444417652,-0.07535048744134731,19,47,14
control(flagOff),147,0.5169225285450617,0.7041206385778345,0.18719811003277276,23,48,19
control(flagOff),148,0.645003467798233,0.4718860271184341,-0.17311744067979895,23,48,15
control(flagOff),149,0.3489133616288503,0.33108179542151367,-0.017831566207336613,22,48,16
control(flagOff),150,0.26547595858573914,0.29270999749069626,0.027234038904957125,23,48,13
control(flagOff),151,0.418815220395724,0.39391994865044305,-0.024895271745280945,23,48,14
control(flagOff),152,0.21007680147886276,0.2127215734830028,0.002644772004140039,19,48,15
control(flagOff),153,0.6034629891316096,0.6045884205536409,0.0011254314220313644,22,48,15
control(flagOff),154,0.6308502554893494,0.5705858676329904,-0.060264387856359014,23,47,13
control(flagOff),155,0.5342766394217809,0.5946821388990983,0.060405499477317326,23,48,13
control(flagOff),156,0.2054109126329422,0.34413256372014683,0.13872165108720463,24,48,18
control(flagOff),157,0.4312279522418976,0.5038853352484496,0.072657383006552,23,48,14
control(flagOff),158,0.7134127219518026,0.8082437411598538,0.09483101920805115,23,48,16
control(flagOff),159,0.2925204858183861,0.17916642332618887,-0.1133540624921972,22,48,14
control(flagOff),160,0.5452970465024313,0.5662563326566116,0.0209592861541803,23,48,12
control(flagOff),161,0.7193749149640402,0.6458175700643788,-0.07355734489966137,23,48,14
fertilityAdaptation,42,0.4888780266046524,0.5599810766137164,0.07110305000906403,23,48,16
fertilityAdaptation,43,0.6292803883552551,0.5838993762930235,-0.04538101206223166,24,48,16
